,Unnamed: 0,ativos, v_firma , v_mercado ,  n_acao , div_yield , p_l , roic , lucro_2019 , lucro_2022 , caixa_2019 , caixa_2022 ,  valor_precovid
263,263,SNSY5,21.141.800,142.406.000,7.716.000,"0,0%",-0.06,"-3,0%",-179.658.000,-331.963.000,1.180.000,3.568.000,2.4
264,264,BPAC3,119.549.000.000,-,11.506.100.000,"2,1%",15.25,-,3.927.617.000,7.841.837.000,--,--,8.09
265,265,ARZZ3,6.997.910.000,6.923.350.000,110.186.000,"2,9%",16.48,"13,2%",162.139.000,424.709.000,13.167.000,8.006.000,58.48
266,266,VULC3,2.970.670.000,3.190.510.000,245.916.000,"3,1%",6.32,"18,1%",143.065.000,469.900.000,10.000,35.161.000,8.51
267,267,ROMI3,1.473.790.000,1.943.990.000,80.667.000,"5,2%",6.85,"13,1%",129.664.000,215.027.000,38.232.000,21.662.000,13.3
268,268,WLMM4,855.745.000,881.670.000,36.414.700,"5,1%",7.3,"16,8%",49.787.000,117.298.000,61.397.000,21.104.000,18.05
269,269,SUZB3,55.083.300.000,112.605.000.000,1.324.120.000,"5,9%",2.36,"18,9%",-2.817.518.000,23.381.617.000,183.754.000,1.479.401.000,37.0
270,270,RANI3,2.123.620.000,2.866.580.000,246.359.000,"7,9%",5.61,"25,3%",-79.592.000,378.210.000,22.350.000,702.762.000,6.8
271,271,MNPR3,62.409.000,52.145.000,7.100.000,"0,0%",9.55,"22,0%",-32.998.000,6.534.000,0,5.250.000,5.85
272,272,EMAE4,1.496.350.000,1.059.610.000,36.947.000,"2,2%",22.0,"-3,4%",92.636.000,68.015.000,306.643.000,421.891.000,37.06
273,273,OSXB3,22.036.000,5.348.980.000,3.148.000,"0,0%",-0.08,"-0,9%",-567.548.000,-287.712.000,541.000,10.339.000,4.68
274,274,EUCA4,879.881.000,1.410.100.000,92.619.000,"8,3%",3.42,"11,8%",65.683.000,257.503.000,1.854.000,28.000,7.52
275,275,CMIG3,37.687.500.000,45.081.800.000,2.201.370.000,"8,4%",9.21,"12,4%",3.193.678.000,4.092.313.000,124.386.000,190.483.000,11.03
276,276,GOAU4,12.230.300.000,18.491.900.000,1.033.840.000,"10,9%",3.27,"26,8%",425.084.000,3.744.624.000,3.024.000,32.000,9.42
277,277,AGRO3,2.467.290.000,3.030.420.000,102.377.000,"21,8%",19.82,"6,0%",177.079.000,520.100.000,330.386.000,65.259.000,18.87
278,278,LOGN3,4.057.830.000,4.996.610.000,106.477.000,"0,0%",9.98,"12,0%",11.129.000,406.702.000,33.154.000,167.486.000,22.01
279,279,BMEB3,1.147.910.000,-,104.832.000,"4,9%",5.72,-,121.400.000,200.571.000,--,--,8.0
280,280,GOAU3,11.444.600.000,17.706.100.000,1.033.840.000,"11,6%",3.06,"26,8%",425.084.000,3.744.624.000,3.024.000,32.000,8.52
281,281,GGBR3,39.235.300.000,46.407.700.000,1.757.070.000,"15,9%",3.43,"26,8%",1.203.736.000,11.425.512.000,411.700.000,184.639.000,16.98
282,282,MNDL3,141.360.000,514.513.000,2.480.000,"0,0%",0.16,"7,2%",-10.361.000,881.992.000,513.000,310.000,35.5
283,283,BMKS3,177.343.000,5.773.420,454.750,"4,6%",6.76,"-11,5%",2.686.000,26.249.000,150.997.000,172.341.000,267.0
284,284,GGBR4,44.436.200.000,51.608.600.000,1.757.070.000,"14,0%",3.89,"26,8%",1.203.736.000,11.425.512.000,411.700.000,184.639.000,18.98
285,285,WLMM3,801.123.000,827.048.000,36.414.700,"4,9%",6.83,"16,8%",49.787.000,117.298.000,61.397.000,21.104.000,14.9
286,286,FRAS3,2.508.450.000,2.368.330.000,270.016.000,"3,8%",12.25,"17,3%",36.889.000,204.838.000,177.183.000,251.893.000,6.75
287,287,CSNA3,20.474.900.000,47.945.800.000,1.326.090.000,"15,7%",13.18,"15,4%",1.789.067.000,1.554.060.000,3.520.410.000,2.839.405.000,12.16
288,288,BAZA3,3.924.060.000,-,56.058.000,"5,2%",3.5,-,275.348.000,1.122.314.000,--,--,40.0
289,289,CEGR3,23.107.800.000,23.994.800.000,259.638.000,"0,8%",84.35,"26,6%",372.918.000,273.940.000,13.682.000,84.717.000,57.0
290,290,SHUL4,1.583.170.000,1.769.250.000,357.375.000,"6,3%",5.86,"19,7%",97.153.000,269.981.000,57.829.000,35.765.000,3.06
291,291,NORD3,37.739.700,75.655.700,6.621.000,"0,0%",-4.8,"-1,5%",-330.000,-7.867.000,20.000,32.000,4.69
292,292,EKTR3,6.988.890.000,11.460.900.000,193.759.000,"19,6%",7.09,"21,8%",495.000.000,986.000.000,1.010.000.000,527.000.000,24.7
293,293,BRGE12,698.901.000,-824.756.000,73.646.000,"0,0%",8.32,"-40,0%",50.170.000,83.978.000,340.000,153.000,5.85
294,294,ETER3,578.233.000,550.355.000,61.777.000,"6,5%",4.2,"15,4%",-12.647.000,137.602.000,1.460.000,3.485.000,5.86
295,295,EKTR4,7.155.520.000,11.627.500.000,193.759.000,"21,1%",7.26,"21,8%",495.000.000,986.000.000,1.010.000.000,527.000.000,22.5
